fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.184713375796178504e-03
0.000000000000000000e+00,6.687898089171974425e-02
2.746121103940683773e-04,6.687898089171974425e-02
2.746121103940683773e-04,7.643312101910827716e-02
4.119181655911025659e-04,7.643312101910827716e-02
4.119181655911025659e-04,1.401273885350318438e-01
5.492242207881367546e-04,1.401273885350318438e-01
5.492242207881367546e-04,1.687898089171974425e-01
6.865302759851709975e-04,1.687898089171974425e-01
6.865302759851709975e-04,1.751592356687897978e-01
8.238363311822051319e-04,1.751592356687897978e-01
8.238363311822051319e-04,1.942675159235668914e-01
9.611423863792393748e-04,1.942675159235668914e-01
9.611423863792393748e-04,2.452229299363057335e-01
1.098448441576273509e-03,2.452229299363057335e-01
1.098448441576273509e-03,2.643312101910827994e-01
1.235754496773307752e-03,2.643312101910827994e-01
1.235754496773307752e-03,3.471337579617834179e-01
1.373060551970341995e-03,3.471337579617834179e-01
1.373060551970341995e-03,4.522292993630573354e-01
1.510366607167376021e-03,4.522292993630573354e-01
1.510366607167376021e-03,4.617834394904458684e-01
1.647672662364410264e-03,4.617834394904458684e-01
1.647672662364410264e-03,4.745222929936305789e-01
1.922284772758478750e-03,4.745222929936305789e-01
1.922284772758478750e-03,5.222929936305732435e-01
2.059590827955512776e-03,5.222929936305732435e-01
2.059590827955512776e-03,5.318471337579617764e-01
2.334202938349581261e-03,5.318471337579617764e-01
2.334202938349581261e-03,5.764331210191082633e-01
2.471508993546615504e-03,5.764331210191082633e-01
2.471508993546615504e-03,5.796178343949044409e-01
2.746121103940683990e-03,5.796178343949044409e-01
2.746121103940683990e-03,5.923566878980891515e-01
2.883427159137717799e-03,5.923566878980891515e-01
2.883427159137717799e-03,6.146496815286623949e-01
3.020733214334752042e-03,6.146496815286623949e-01
3.020733214334752042e-03,6.369426751592356384e-01
3.158039269531786285e-03,6.369426751592356384e-01
3.158039269531786285e-03,6.401273885350318160e-01
3.432651379925854770e-03,6.401273885350318160e-01
3.432651379925854770e-03,6.433121019108279937e-01
3.707263490319923256e-03,6.433121019108279937e-01
3.707263490319923256e-03,6.528662420382165266e-01
3.981875600713991742e-03,6.528662420382165266e-01
3.981875600713991742e-03,6.592356687898088818e-01
4.119181655911025551e-03,6.592356687898088818e-01
4.119181655911025551e-03,6.624203821656050595e-01
4.256487711108060228e-03,6.624203821656050595e-01
4.256487711108060228e-03,6.687898089171974148e-01
4.393793766305094037e-03,6.687898089171974148e-01
4.393793766305094037e-03,6.815286624203821253e-01
4.531099821502127846e-03,6.815286624203821253e-01
4.531099821502127846e-03,6.847133757961783029e-01
4.668405876699162523e-03,6.847133757961783029e-01
4.668405876699162523e-03,6.910828025477706582e-01
4.805711931896196332e-03,6.910828025477706582e-01
4.805711931896196332e-03,7.006369426751591911e-01
4.943017987093231008e-03,7.006369426751591911e-01
4.943017987093231008e-03,7.165605095541400793e-01
5.217630097487299494e-03,7.165605095541400793e-01
5.217630097487299494e-03,7.261146496815286122e-01
5.492242207881367980e-03,7.261146496815286122e-01
5.492242207881367980e-03,7.324840764331209675e-01
5.629548263078401789e-03,7.324840764331209675e-01
5.629548263078401789e-03,7.388535031847133228e-01
