fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000042e-02
0.000000000000000000e+00,9.200000000000000400e-01
2.000000000000000042e-02,9.200000000000000400e-01
2.000000000000000042e-02,9.599999999999999645e-01
1.000000000000000056e-01,9.599999999999999645e-01
1.000000000000000056e-01,9.799999999999999822e-01
4.400000000000000022e-01,9.799999999999999822e-01
4.400000000000000022e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
