fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.184713375796178504e-03
0.000000000000000000e+00,8.917197452229299603e-01
1.373060551970341886e-04,8.917197452229299603e-01
1.373060551970341886e-04,8.949044585987261380e-01
2.746121103940683773e-04,8.949044585987261380e-01
2.746121103940683773e-04,9.108280254777070262e-01
4.119181655911025659e-04,9.108280254777070262e-01
4.119181655911025659e-04,9.235668789808917367e-01
5.492242207881367546e-04,9.235668789808917367e-01
5.492242207881367546e-04,9.267515923566879144e-01
8.238363311822051319e-04,9.267515923566879144e-01
8.238363311822051319e-04,9.458598726114649802e-01
1.098448441576273509e-03,9.458598726114649802e-01
1.098448441576273509e-03,9.490445859872611578e-01
1.235754496773307752e-03,9.490445859872611578e-01
1.235754496773307752e-03,9.554140127388535131e-01
1.510366607167376021e-03,9.554140127388535131e-01
1.510366607167376021e-03,9.585987261146496907e-01
1.647672662364410264e-03,9.585987261146496907e-01
1.647672662364410264e-03,9.649681528662420460e-01
1.784978717561444507e-03,9.649681528662420460e-01
1.784978717561444507e-03,9.681528662420382236e-01
2.059590827955512776e-03,9.681528662420382236e-01
2.059590827955512776e-03,9.713375796178344013e-01
2.471508993546615504e-03,9.713375796178344013e-01
2.471508993546615504e-03,9.745222929936305789e-01
3.569957435122889013e-03,9.745222929936305789e-01
3.569957435122889013e-03,9.808917197452229342e-01
4.393793766305094037e-03,9.808917197452229342e-01
4.393793766305094037e-03,9.840764331210191118e-01
4.805711931896196332e-03,9.840764331210191118e-01
4.805711931896196332e-03,9.872611464968152895e-01
5.217630097487299494e-03,9.872611464968152895e-01
5.217630097487299494e-03,9.904458598726114671e-01
6.590690649457641055e-03,9.904458598726114671e-01
6.590690649457641055e-03,9.936305732484076447e-01
7.002608815048743350e-03,9.936305732484076447e-01
7.002608815048743350e-03,9.968152866242038224e-01
1.070987230536866661e-02,9.968152866242038224e-01
1.070987230536866661e-02,1.000000000000000000e+00
3.915968694219414958e-01,1.000000000000000000e+00
3.918714815323355860e-01,1.000000000000000000e+00
4.351228889194013183e-01,1.000000000000000000e+00
4.353975010297954085e-01,1.000000000000000000e+00
5.599340930935053917e-01,1.000000000000000000e+00
5.602087052038995374e-01,1.000000000000000000e+00
8.031031168474529469e-01,1.000000000000000000e+00
8.033777289578470926e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
