FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
1.356300013563000015e-04,0.000000000000000000e+00
1.356300013563000015e-04,3.184713375796178504e-03
2.712600027126000029e-04,3.184713375796178504e-03
2.712600027126000029e-04,9.554140127388534645e-03
5.425200054252000059e-04,9.554140127388534645e-03
5.425200054252000059e-04,1.910828025477706929e-02
6.781500067815000345e-04,1.910828025477706929e-02
6.781500067815000345e-04,2.547770700636942803e-02
8.137800081378000630e-04,2.547770700636942803e-02
8.137800081378000630e-04,3.184713375796178331e-02
1.085040010850400012e-03,3.184713375796178331e-02
1.085040010850400012e-03,4.140127388535031622e-02
1.220670012206700149e-03,4.140127388535031622e-02
1.220670012206700149e-03,5.732484076433121134e-02
1.627560016275600126e-03,5.732484076433121134e-02
1.627560016275600126e-03,6.369426751592356661e-02
1.898820018988200183e-03,6.369426751592356661e-02
1.898820018988200183e-03,6.687898089171974425e-02
2.441340024413400298e-03,6.687898089171974425e-02
2.441340024413400298e-03,7.006369426751592189e-02
2.848230028482300492e-03,7.006369426751592189e-02
2.848230028482300492e-03,7.324840764331209952e-02
2.983860029838600412e-03,7.324840764331209952e-02
2.983860029838600412e-03,7.643312101910827716e-02
3.119490031194900332e-03,7.643312101910827716e-02
3.119490031194900332e-03,7.961783439490445480e-02
4.204530042045300127e-03,7.961783439490445480e-02
4.204530042045300127e-03,8.280254777070063243e-02
4.475790044757900835e-03,8.280254777070063243e-02
4.475790044757900835e-03,8.598726114649681007e-02
5.153940051539400435e-03,8.598726114649681007e-02
5.153940051539400435e-03,8.917197452229298771e-02
5.560830055608300196e-03,8.917197452229298771e-02
5.560830055608300196e-03,9.554140127388535686e-02
5.967720059677200824e-03,9.554140127388535686e-02
5.967720059677200824e-03,1.050955414012738898e-01
6.103350061033500744e-03,1.050955414012738898e-01
6.103350061033500744e-03,1.082802547770700674e-01
6.374610063746100584e-03,1.082802547770700674e-01
6.374610063746100584e-03,1.114649681528662450e-01
6.510240065102400504e-03,1.114649681528662450e-01
6.510240065102400504e-03,1.146496815286624227e-01
6.917130069171300265e-03,1.146496815286624227e-01
6.917130069171300265e-03,1.210191082802547780e-01
7.052760070527601052e-03,1.210191082802547780e-01
7.052760070527601052e-03,1.273885350318471332e-01
7.324020073240200893e-03,1.273885350318471332e-01
7.324020073240200893e-03,1.337579617834394885e-01
7.459650074596500813e-03,1.337579617834394885e-01
7.459650074596500813e-03,1.369426751592356661e-01
7.595280075952800733e-03,1.369426751592356661e-01
7.595280075952800733e-03,1.401273885350318438e-01
8.680320086803200094e-03,1.401273885350318438e-01
8.680320086803200094e-03,1.464968152866241990e-01
8.815950088159500014e-03,1.464968152866241990e-01
8.815950088159500014e-03,1.496815286624203767e-01
9.222840092228401510e-03,1.496815286624203767e-01
9.222840092228401510e-03,1.528662420382165543e-01
9.358470093584701430e-03,1.560509554140127320e-01
9.358470093584701430e-03,1.592356687898089096e-01
9.494100094941001350e-03,1.592356687898089096e-01
9.494100094941001350e-03,1.687898089171974425e-01
9.629730096297301270e-03,1.687898089171974425e-01
9.629730096297301270e-03,1.751592356687897978e-01
1.179981011799810173e-02,1.751592356687897978e-01
1.179981011799810173e-02,1.783439490445859754e-01
1.207107012071070157e-02,1.783439490445859754e-01
1.207107012071070157e-02,1.815286624203821531e-01
1.478367014783670171e-02,1.815286624203821531e-01
1.478367014783670171e-02,1.847133757961783307e-01
1.505493015054930155e-02,1.847133757961783307e-01
1.505493015054930155e-02,1.878980891719745361e-01
1.519056015190560147e-02,1.878980891719745361e-01
1.519056015190560147e-02,1.910828025477707137e-01
1.559745015597450123e-02,1.910828025477707137e-01
1.559745015597450123e-02,2.006369426751592466e-01
1.586871015868710280e-02,2.006369426751592466e-01
1.586871015868710280e-02,2.038216560509554243e-01
1.613997016139970264e-02,2.038216560509554243e-01
1.613997016139970264e-02,2.070063694267516019e-01
1.641123016411230248e-02,2.070063694267516019e-01
1.641123016411230248e-02,2.133757961783439572e-01
1.654686016546860067e-02,2.133757961783439572e-01
1.654686016546860067e-02,2.165605095541401348e-01
1.668249016682490232e-02,2.197452229299363125e-01
1.681812016818120051e-02,2.197452229299363125e-01
1.681812016818120051e-02,2.261146496815286677e-01
1.695375016953750216e-02,2.261146496815286677e-01
1.695375016953750216e-02,2.292993630573248454e-01
1.708938017089380035e-02,2.292993630573248454e-01
1.708938017089380035e-02,2.324840764331210230e-01
1.790316017903160334e-02,2.324840764331210230e-01
1.790316017903160334e-02,2.388535031847133783e-01
1.885257018852570104e-02,2.388535031847133783e-01
1.885257018852570104e-02,2.420382165605095559e-01
1.980198019801980222e-02,2.420382165605095559e-01
1.980198019801980222e-02,2.452229299363057335e-01
1.993761019937610041e-02,2.452229299363057335e-01
1.993761019937610041e-02,2.515923566878980888e-01
2.088702020887020158e-02,2.515923566878980888e-01
2.088702020887020158e-02,2.547770700636942665e-01
2.129391021293910308e-02,2.547770700636942665e-01
2.129391021293910308e-02,2.579617834394904441e-01
2.170080021700800110e-02,2.579617834394904441e-01
2.197206021972060094e-02,2.579617834394904441e-01
2.237895022378950244e-02,2.579617834394904441e-01
2.237895022378950244e-02,2.611464968152866217e-01
2.292147022921470212e-02,2.611464968152866217e-01
2.292147022921470212e-02,2.643312101910827994e-01
2.305710023057100377e-02,2.643312101910827994e-01
2.305710023057100377e-02,2.675159235668789770e-01
2.373525023735250164e-02,2.675159235668789770e-01
2.373525023735250164e-02,2.707006369426751546e-01
2.454903024549030116e-02,2.707006369426751546e-01
2.454903024549030116e-02,2.770700636942675099e-01
2.495592024955920266e-02,2.770700636942675099e-01
2.495592024955920266e-02,2.802547770700636875e-01
2.590533025905330383e-02,2.802547770700636875e-01
2.590533025905330383e-02,2.898089171974522205e-01
2.617659026176590367e-02,2.898089171974522205e-01
2.617659026176590367e-02,2.929936305732483981e-01
2.644785026447850351e-02,2.929936305732483981e-01
2.644785026447850351e-02,2.961783439490445757e-01
2.658348026583480170e-02,2.961783439490445757e-01
2.658348026583480170e-02,2.993630573248407534e-01
2.726163027261630303e-02,2.993630573248407534e-01
2.726163027261630303e-02,3.025477707006369310e-01
2.739726027397260122e-02,3.025477707006369310e-01
2.739726027397260122e-02,3.057324840764331086e-01
2.807541028075410255e-02,3.057324840764331086e-01
2.807541028075410255e-02,3.089171974522292863e-01
2.821104028211040421e-02,3.089171974522292863e-01
2.821104028211040421e-02,3.121019108280254639e-01
2.848230028482300405e-02,3.121019108280254639e-01
2.848230028482300405e-02,3.184713375796178192e-01
2.983860029838600325e-02,3.184713375796178192e-01
2.983860029838600325e-02,3.248407643312101745e-01
3.010986030109860309e-02,3.248407643312101745e-01
3.010986030109860309e-02,3.280254777070063521e-01
3.038112030381120293e-02,3.280254777070063521e-01
3.038112030381120293e-02,3.312101910828025297e-01
3.092364030923640261e-02,3.312101910828025297e-01
3.092364030923640261e-02,3.375796178343948850e-01
3.119490031194900245e-02,3.375796178343948850e-01
3.119490031194900245e-02,3.407643312101910626e-01
3.187305031873050032e-02,3.407643312101910626e-01
3.187305031873050032e-02,3.471337579617834179e-01
3.200868032008680197e-02,3.471337579617834179e-01
3.200868032008680197e-02,3.535031847133757732e-01
3.227994032279940528e-02,3.535031847133757732e-01
3.227994032279940528e-02,3.566878980891719508e-01
3.241557032415570000e-02,3.566878980891719508e-01
3.241557032415570000e-02,3.598726114649681285e-01
3.255120032551200165e-02,3.598726114649681285e-01
3.255120032551200165e-02,3.630573248407643061e-01
3.404313034043130598e-02,3.630573248407643061e-01
3.404313034043130598e-02,3.662420382165604837e-01
3.499254034992540369e-02,3.662420382165604837e-01
3.499254034992540369e-02,3.694267515923566614e-01
3.580632035806320668e-02,3.694267515923566614e-01
3.580632035806320668e-02,3.726114649681528390e-01
3.621321036213210470e-02,3.726114649681528390e-01
3.621321036213210470e-02,3.757961783439490722e-01
3.662010036620100273e-02,3.757961783439490722e-01
3.662010036620100273e-02,3.789808917197452498e-01
3.743388037433880572e-02,3.789808917197452498e-01
3.743388037433880572e-02,3.821656050955414274e-01
3.784077037840770374e-02,3.821656050955414274e-01
3.784077037840770374e-02,3.853503184713376051e-01
4.041774040417740743e-02,3.853503184713376051e-01
4.041774040417740743e-02,3.885350318471337827e-01
4.082463040824630546e-02,3.885350318471337827e-01
4.082463040824630546e-02,3.917197452229299603e-01
4.136715041367150514e-02,3.917197452229299603e-01
4.136715041367150514e-02,3.949044585987261380e-01
4.190967041909670482e-02,3.949044585987261380e-01
4.190967041909670482e-02,3.980891719745223156e-01
4.204530042045300647e-02,3.980891719745223156e-01
4.204530042045300647e-02,4.012738853503184933e-01
4.353723043537230386e-02,4.012738853503184933e-01
4.353723043537230386e-02,4.044585987261146709e-01
4.380849043808490717e-02,4.044585987261146709e-01
4.380849043808490717e-02,4.076433121019108485e-01
4.421538044215380520e-02,4.076433121019108485e-01
4.421538044215380520e-02,4.108280254777070262e-01
4.448664044486640157e-02,4.108280254777070262e-01
4.475790044757900488e-02,4.108280254777070262e-01
4.543605045436050621e-02,4.108280254777070262e-01
4.543605045436050621e-02,4.140127388535032038e-01
4.584294045842940424e-02,4.140127388535032038e-01
4.584294045842940424e-02,4.171974522292993814e-01
4.679235046792350194e-02,4.171974522292993814e-01
4.679235046792350194e-02,4.203821656050955591e-01
4.828428048284280627e-02,4.203821656050955591e-01
4.828428048284280627e-02,4.235668789808917367e-01
5.045436050454360499e-02,4.235668789808917367e-01
5.045436050454360499e-02,4.267515923566879144e-01
5.221755052217550569e-02,4.267515923566879144e-01
5.221755052217550569e-02,4.299363057324840920e-01
5.276007052760070537e-02,4.299363057324840920e-01
5.276007052760070537e-02,4.331210191082802696e-01
5.303133053031330868e-02,4.331210191082802696e-01
5.303133053031330868e-02,4.363057324840764473e-01
5.384511053845110473e-02,4.363057324840764473e-01
5.384511053845110473e-02,4.394904458598726249e-01
5.479452054794520244e-02,4.394904458598726249e-01
5.479452054794520244e-02,4.426751592356688025e-01
5.493015054930150409e-02,4.426751592356688025e-01
5.493015054930150409e-02,4.458598726114649802e-01
5.533704055337040212e-02,4.458598726114649802e-01
5.533704055337040212e-02,4.490445859872611578e-01
5.642208056422080842e-02,4.490445859872611578e-01
5.642208056422080842e-02,4.522292993630573354e-01
5.994846059948460287e-02,4.522292993630573354e-01
5.994846059948460287e-02,4.554140127388535131e-01
6.171165061711650357e-02,4.554140127388535131e-01
6.171165061711650357e-02,4.585987261146496907e-01
6.293232062932320459e-02,4.585987261146496907e-01
6.293232062932320459e-02,4.617834394904458684e-01
6.320358063203580790e-02,4.617834394904458684e-01
6.320358063203580790e-02,4.649681528662420460e-01
6.374610063746100064e-02,4.649681528662420460e-01
6.374610063746100064e-02,4.681528662420382236e-01
6.564492065644920993e-02,4.681528662420382236e-01
6.564492065644920993e-02,4.713375796178344013e-01
6.754374067543740534e-02,4.713375796178344013e-01
6.754374067543740534e-02,4.745222929936305789e-01
6.890004068900040801e-02,4.745222929936305789e-01
6.890004068900040801e-02,4.777070063694267565e-01
