fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
1.356300013563000015e-04,0.000000000000000000e+00
8.137800081378000630e-04,0.000000000000000000e+00
1.085040010850400012e-03,0.000000000000000000e+00
1.085040010850400012e-03,3.184713375796178504e-03
2.983860029838600412e-03,3.184713375796178504e-03
3.255120032551200252e-03,3.184713375796178504e-03
4.204530042045300127e-03,3.184713375796178504e-03
4.204530042045300127e-03,6.369426751592357008e-03
4.475790044757900835e-03,6.369426751592357008e-03
5.018310050183100515e-03,6.369426751592357008e-03
5.289570052895700356e-03,6.369426751592357008e-03
5.289570052895700356e-03,9.554140127388534645e-03
5.560830055608300196e-03,9.554140127388534645e-03
7.324020073240200893e-03,9.554140127388534645e-03
7.595280075952800733e-03,9.554140127388534645e-03
7.595280075952800733e-03,1.273885350318471402e-02
8.680320086803200094e-03,1.273885350318471402e-02
8.680320086803200094e-03,1.592356687898089165e-02
9.222840092228401510e-03,1.592356687898089165e-02
9.222840092228401510e-03,2.229299363057324693e-02
9.494100094941001350e-03,2.229299363057324693e-02
9.494100094941001350e-03,2.547770700636942803e-02
9.629730096297301270e-03,2.547770700636942803e-02
9.629730096297301270e-03,3.184713375796178331e-02
1.247796012477960133e-02,3.184713375796178331e-02
1.247796012477960133e-02,3.503184713375796094e-02
1.396989013969890218e-02,3.503184713375796094e-02
1.396989013969890218e-02,3.821656050955413858e-02
1.532619015326190139e-02,3.821656050955413858e-02
1.532619015326190139e-02,4.140127388535031622e-02
1.573308015733080115e-02,4.140127388535031622e-02
1.573308015733080115e-02,4.458598726114649385e-02
1.668249016682490232e-02,4.458598726114649385e-02
1.668249016682490232e-02,4.777070063694267843e-02
1.695375016953750216e-02,4.777070063694267843e-02
1.695375016953750216e-02,5.095541401273885607e-02
1.898820018988200270e-02,5.095541401273885607e-02
1.898820018988200270e-02,5.414012738853503370e-02
2.102265021022650324e-02,5.414012738853503370e-02
2.102265021022650324e-02,5.732484076433121134e-02
2.183643021836430276e-02,5.732484076433121134e-02
2.183643021836430276e-02,6.050955414012738898e-02
2.292147022921470212e-02,6.050955414012738898e-02
2.292147022921470212e-02,6.687898089171974425e-02
2.373525023735250164e-02,6.687898089171974425e-02
2.373525023735250164e-02,7.006369426751592189e-02
2.495592024955920266e-02,7.006369426751592189e-02
2.495592024955920266e-02,7.324840764331209952e-02
2.522718025227180250e-02,7.324840764331209952e-02
2.522718025227180250e-02,7.643312101910827716e-02
2.604096026040960202e-02,7.643312101910827716e-02
2.604096026040960202e-02,7.961783439490445480e-02
2.617659026176590367e-02,7.961783439490445480e-02
2.617659026176590367e-02,8.280254777070063243e-02
3.038112030381120293e-02,8.280254777070063243e-02
3.038112030381120293e-02,8.598726114649681007e-02
3.105927031059270427e-02,8.598726114649681007e-02
3.105927031059270427e-02,8.917197452229298771e-02
3.119490031194900245e-02,8.917197452229298771e-02
3.119490031194900245e-02,9.235668789808916535e-02
3.187305031873050032e-02,9.235668789808916535e-02
3.187305031873050032e-02,9.872611464968153450e-02
3.214431032144310363e-02,9.872611464968153450e-02
3.214431032144310363e-02,1.050955414012738898e-01
3.309372033093720133e-02,1.050955414012738898e-01
3.309372033093720133e-02,1.082802547770700674e-01
3.322935033229350299e-02,1.082802547770700674e-01
3.322935033229350299e-02,1.114649681528662450e-01
3.350061033500610630e-02,1.114649681528662450e-01
3.350061033500610630e-02,1.146496815286624227e-01
3.431439034314390235e-02,1.146496815286624227e-01
3.431439034314390235e-02,1.178343949044586003e-01
3.485691034856910203e-02,1.178343949044586003e-01
3.485691034856910203e-02,1.210191082802547780e-01
3.567069035670690502e-02,1.210191082802547780e-01
3.567069035670690502e-02,1.242038216560509556e-01
3.594195035941950139e-02,1.242038216560509556e-01
3.594195035941950139e-02,1.273885350318471332e-01
3.662010036620100273e-02,1.273885350318471332e-01
3.662010036620100273e-02,1.337579617834394885e-01
3.770514037705140209e-02,1.337579617834394885e-01
3.770514037705140209e-02,1.369426751592356661e-01
3.973959039739590610e-02,1.369426751592356661e-01
3.973959039739590610e-02,1.401273885350318438e-01
3.987522039875220081e-02,1.401273885350318438e-01
3.987522039875220081e-02,1.433121019108280214e-01
4.028211040282110578e-02,1.433121019108280214e-01
4.041774040417740743e-02,1.464968152866241990e-01
4.218093042180930119e-02,1.464968152866241990e-01
4.231656042316560284e-02,1.496815286624203767e-01
4.245219042452190450e-02,1.496815286624203767e-01
4.245219042452190450e-02,1.528662420382165543e-01
4.299471042994710418e-02,1.528662420382165543e-01
4.299471042994710418e-02,1.560509554140127320e-01
4.435101044351010685e-02,1.560509554140127320e-01
4.435101044351010685e-02,1.592356687898089096e-01
4.557168045571680787e-02,1.592356687898089096e-01
4.557168045571680787e-02,1.624203821656050872e-01
4.652109046521090557e-02,1.624203821656050872e-01
4.652109046521090557e-02,1.656050955414012649e-01
4.692798046927980360e-02,1.656050955414012649e-01
4.692798046927980360e-02,1.687898089171974425e-01
4.719924047199240691e-02,1.687898089171974425e-01
4.747050047470500328e-02,1.687898089171974425e-01
4.760613047606130493e-02,1.687898089171974425e-01
4.760613047606130493e-02,1.719745222929936201e-01
4.774176047741760659e-02,1.719745222929936201e-01
4.774176047741760659e-02,1.751592356687897978e-01
4.787739047877390824e-02,1.751592356687897978e-01
4.801302048013020296e-02,1.783439490445859754e-01
4.855554048555540264e-02,1.783439490445859754e-01
4.855554048555540264e-02,1.815286624203821531e-01
4.869117048691170430e-02,1.815286624203821531e-01
4.869117048691170430e-02,1.847133757961783307e-01
5.045436050454360499e-02,1.847133757961783307e-01
5.045436050454360499e-02,1.910828025477707137e-01
5.086125050861250302e-02,1.910828025477707137e-01
5.086125050861250302e-02,1.942675159235668914e-01
5.235318052353180734e-02,1.942675159235668914e-01
5.235318052353180734e-02,1.974522292993630690e-01
5.276007052760070537e-02,1.974522292993630690e-01
5.276007052760070537e-02,2.006369426751592466e-01
5.642208056422080842e-02,2.006369426751592466e-01
5.642208056422080842e-02,2.038216560509554243e-01
5.682897056828970644e-02,2.038216560509554243e-01
5.710023057100230282e-02,2.038216560509554243e-01
5.737149057371490612e-02,2.038216560509554243e-01
5.737149057371490612e-02,2.070063694267516019e-01
5.818527058185270912e-02,2.070063694267516019e-01
5.818527058185270912e-02,2.101910828025477795e-01
5.832090058320900383e-02,2.101910828025477795e-01
5.832090058320900383e-02,2.133757961783439572e-01
5.845653058456530549e-02,2.165605095541401348e-01
5.940594059405940319e-02,2.165605095541401348e-01
5.940594059405940319e-02,2.197452229299363125e-01
6.225417062254170325e-02,2.197452229299363125e-01
6.225417062254170325e-02,2.229299363057324901e-01
6.238980062389800491e-02,2.229299363057324901e-01
6.238980062389800491e-02,2.292993630573248454e-01
6.564492065644920993e-02,2.292993630573248454e-01
6.564492065644920993e-02,2.324840764331210230e-01
6.957819069578190241e-02,2.324840764331210230e-01
6.957819069578190241e-02,2.356687898089172006e-01
6.971382069713820406e-02,2.356687898089172006e-01
6.971382069713820406e-02,2.388535031847133783e-01
7.242642072426420941e-02,2.388535031847133783e-01
7.242642072426420941e-02,2.420382165605095559e-01
7.256205072562051106e-02,2.420382165605095559e-01
7.256205072562051106e-02,2.452229299363057335e-01
7.283331072833310049e-02,2.452229299363057335e-01
7.283331072833310049e-02,2.484076433121019112e-01
7.391835073918351373e-02,2.484076433121019112e-01
7.391835073918351373e-02,2.515923566878980888e-01
7.418961074189610316e-02,2.515923566878980888e-01
7.418961074189610316e-02,2.547770700636942665e-01
7.825851078258511118e-02,2.547770700636942665e-01
7.825851078258511118e-02,2.579617834394904441e-01
7.852977078529771449e-02,2.579617834394904441e-01
7.852977078529771449e-02,2.611464968152866217e-01
7.880103078801030392e-02,2.611464968152866217e-01
7.880103078801030392e-02,2.643312101910827994e-01
7.934355079343551054e-02,2.643312101910827994e-01
7.934355079343551054e-02,2.707006369426751546e-01
8.069985080699851321e-02,2.707006369426751546e-01
8.069985080699851321e-02,2.738853503184713323e-01
8.124237081242370595e-02,2.738853503184713323e-01
8.124237081242370595e-02,2.770700636942675099e-01
8.259867082598670862e-02,2.770700636942675099e-01
8.259867082598670862e-02,2.802547770700636875e-01
8.327682083276820302e-02,2.802547770700636875e-01
8.327682083276820302e-02,2.834394904458598652e-01
8.531127085311271396e-02,2.834394904458598652e-01
8.531127085311271396e-02,2.866242038216560428e-01
8.721009087210090938e-02,2.866242038216560428e-01
8.721009087210090938e-02,2.961783439490445757e-01
8.910891089108910479e-02,2.961783439490445757e-01
8.910891089108910479e-02,2.993630573248407534e-01
8.924454089244540644e-02,2.993630573248407534e-01
8.924454089244540644e-02,3.025477707006369310e-01
9.019395090193950415e-02,3.025477707006369310e-01
9.019395090193950415e-02,3.057324840764331086e-01
9.155025091550250682e-02,3.057324840764331086e-01
9.155025091550250682e-02,3.089171974522292863e-01
9.182151091821511013e-02,3.089171974522292863e-01
9.182151091821511013e-02,3.121019108280254639e-01
9.317781093177811280e-02,3.121019108280254639e-01
9.317781093177811280e-02,3.152866242038216416e-01
9.466974094669740325e-02,3.152866242038216416e-01
9.466974094669740325e-02,3.184713375796178192e-01
9.507663095076630821e-02,3.184713375796178192e-01
9.507663095076630821e-02,3.216560509554139968e-01
9.548352095483521318e-02,3.216560509554139968e-01
9.548352095483521318e-02,3.248407643312101745e-01
9.616167096161670758e-02,3.248407643312101745e-01
9.616167096161670758e-02,3.280254777070063521e-01
9.670419096704191420e-02,3.280254777070063521e-01
9.670419096704191420e-02,3.343949044585987074e-01
1.003662010036620034e-01,3.343949044585987074e-01
1.003662010036620034e-01,3.375796178343948850e-01
1.036213210362132153e-01,3.375796178343948850e-01
1.036213210362132153e-01,3.407643312101910626e-01
1.042994710429947097e-01,3.407643312101910626e-01
1.042994710429947097e-01,3.439490445859872403e-01
1.068764410687644134e-01,3.439490445859872403e-01
1.068764410687644134e-01,3.471337579617834179e-01
1.101315611013156115e-01,3.471337579617834179e-01
1.101315611013156115e-01,3.503184713375795956e-01
1.106740811067408042e-01,3.503184713375795956e-01
1.106740811067408042e-01,3.535031847133757732e-01
1.109453411094534075e-01,3.535031847133757732e-01
1.109453411094534075e-01,3.566878980891719508e-01
1.114878611148786142e-01,3.566878980891719508e-01
1.114878611148786142e-01,3.598726114649681285e-01
1.143360911433609073e-01,3.598726114649681285e-01
1.143360911433609073e-01,3.630573248407643061e-01
1.148786111487861139e-01,3.630573248407643061e-01
1.151498711514987172e-01,3.630573248407643061e-01
1.158280211582802116e-01,3.630573248407643061e-01
1.158280211582802116e-01,3.662420382165604837e-01
1.167774311677743093e-01,3.662420382165604837e-01
1.167774311677743093e-01,3.694267515923566614e-01
1.173199511731995159e-01,3.694267515923566614e-01
1.173199511731995159e-01,3.726114649681528390e-01
1.234233012342330071e-01,3.726114649681528390e-01
1.234233012342330071e-01,3.757961783439490722e-01
1.238301912383019121e-01,3.757961783439490722e-01
1.238301912383019121e-01,3.789808917197452498e-01
1.273565712735656996e-01,3.789808917197452498e-01
1.273565712735656996e-01,3.821656050955414274e-01
